company,Q3_2024,Q2_2024,Q1_2024,Q4_2023,Q3_2023,Q2_2023,Q1_2023,Q4_2022,Q3_2022,Q2_2022,Q1_2022,Q4_2021,Q3_2021,Q2_2021,Q1_2021,Q4_2020,Q3_2020,Q2_2020,Q1_2020,Q4_2019,Q3_2019,Q2_2019,Q1_2019,Q4_2018,Q3_2018,Q2_2018,Q1_2018,Q4_2017,Q3_2017,Q2_2017,Q1_2017,Q4_2016,Q3_2016,Q2_2016,Q1_2016,Q4_2015,Q3_2015,Q2_2015,Q1_2015,Q4_2014,Q3_2014,Q2_2014,Q1_2014,Q1_2013,Q2_2012,Q1_2012,Q2_2011,Q1_2011
Alphabet Inc.,Data not available,increase,increase,increase,increase,increase,Data not available,Data not available,increase,increase,decrease,decrease,increase,decrease,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,
Amazon.com,Data not available,increase,increase,decrease,increase,increase,decrease,decrease,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,increase,increase,increase,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,
Berkshire Hathaway Inc.,Data not available,Data not available,increase,Data not available,Data not available,decrease,Data not available,Data not available,Data not available,decrease,decrease,Data not available,Data not available,Data not available,decrease,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,
"Cardinal Health, Inc.",increase,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,unchanged,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,increase,decrease,decrease,increase,decrease,Data not available,Data not available,Data not available,decrease,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,increase,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,
Chevron Corporation,Data not available,decrease,decrease,decrease,increase,increase,decrease,increase,decrease,increase,decrease,increase,decrease,increase,decrease,increase,decrease,decrease,decrease,increase,decrease,increase,Data not available,Data not available,Data not available,Data not available,Data not available,increase,decrease,increase,decrease,increase,decrease,increase,decrease,Data not available,Data not available,increase,decrease,decrease,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,
Company A,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,
Fannie Mae,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,unchanged,Data not available,Data not available,unchanged,decrease,increase,unchanged,0.0
"Goldman Sachs Group, Inc.",Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,decrease,increase,Data not available,Data not available,Data not available,Data not available,decrease,increase,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,
Morgan Stanley,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,decrease,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,increase,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,increase,increase,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,
Tesla Inc.,Data not available,decrease,increase,decrease,increase,decrease,increase,Data not available,Data not available,increase,decrease,increase,decrease,increase,decrease,decrease,increase,Data not available,Data not available,increase,increase,decrease,decrease,decrease,Data not available,Data not available,decrease,decrease,increase,increase,increase,decrease,decrease,increase,increase,decrease,increase,decrease,decrease,increase,increase,increase,Data not available,Data not available,Data not available,Data not available,Data not available,
Valero Energy,Data not available,decrease,increase,increase,decrease,decrease,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,decrease,decrease,increase,decrease,increase,decrease,increase,decrease,increase,decrease,increase,increase,decrease,increase,decrease,increase,decrease,decrease,increase,decrease,decrease,decrease,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,
